year,state,category,jurisdiction,budget_usd,pct_change_yoy,lag_1,rolling_3yr,budget_log
2023,MA,environment,state,658272000,11.12,18.86,11.507,8.8184
2015,MA,housing,state,19895426000,9.93,9.93,9.93,10.2988
2016,MA,housing,state,22023118000,10.69,9.93,10.31,10.3429
2017,MA,housing,state,22478805000,2.07,10.69,7.563,10.3518
2018,MA,housing,state,23960508000,6.59,2.07,6.45,10.3795
2019,MA,housing,state,24818872000,3.58,6.59,4.08,10.3948
2020,MA,housing,state,25868091000,4.23,3.58,4.8,10.4128
2021,MA,housing,state,27361985000,5.78,4.23,4.53,10.4371
2022,MA,housing,state,32018223000,17.02,5.78,9.01,10.5054
2023,MA,housing,state,34412892000,7.48,17.02,10.093,10.5367
2015,MA,public_safety,state,1956546000,11.06,11.06,11.06,9.2915
2016,MA,public_safety,state,1974599000,0.92,11.06,5.99,9.2955
2017,MA,public_safety,state,2026462000,2.63,0.92,4.87,9.3067
2018,MA,public_safety,state,2104005000,3.83,2.63,2.46,9.323
2019,MA,public_safety,state,2208431000,4.96,3.83,3.807,9.3441
2020,MA,public_safety,state,2361796000,6.94,4.96,5.243,9.3732
2021,MA,public_safety,state,2313804000,-2.03,6.94,3.29,9.3643
2022,MA,public_safety,state,2388317000,3.22,-2.03,2.71,9.3781
2023,MA,public_safety,state,2601185000,8.91,3.22,3.367,9.4152
2015,MA,transportation,state,3164073000,9.12,9.12,9.12,9.5002
2016,MA,transportation,state,3119467000,-1.41,9.12,3.855,9.4941
2017,MA,transportation,state,3054300000,-2.09,-1.41,1.873,9.4849
2018,MA,transportation,state,2602040000,-14.81,-2.09,-6.103,9.4153
2019,MA,transportation,state,2433337000,-6.48,-14.81,-7.793,9.3862
2020,MA,transportation,state,2509240000,3.12,-6.48,-6.057,9.3995
2021,MA,transportation,state,2672805000,6.52,3.12,1.053,9.427
2022,MA,transportation,state,2726595000,2.01,6.52,3.883,9.4356
2023,MA,transportation,state,3008519000,10.34,2.01,6.29,9.4784
2015,MD,education,state,12168535000,0.83,0.83,0.83,10.0852
2016,MD,education,state,12596173000,3.51,0.83,2.17,10.1002
2017,MD,education,state,12640485000,0.35,3.51,1.563,10.1018
2018,MD,education,state,12984499000,2.72,0.35,2.193,10.1134
2019,MD,education,state,13653160000,5.15,2.72,2.74,10.1352
2020,MD,education,state,15202556000,11.35,5.15,6.407,10.1819
2021,MD,education,state,15826653000,4.11,11.35,6.87,10.1994
2022,MD,education,state,17670786000,11.65,4.11,9.037,10.2473
2023,MD,education,state,19206166000,8.69,11.65,8.15,10.2834
2015,MD,environment,state,646907000,16.6,16.6,16.6,8.8108
2016,MD,environment,state,593127000,-8.31,16.6,4.145,8.7731
2017,MD,environment,state,711979000,20.04,-8.31,9.443,8.8525
2018,MD,environment,state,793243000,11.41,20.04,7.713,8.8994
2019,MD,environment,state,831904000,4.87,11.41,12.107,8.9201
2020,MD,environment,state,845467000,1.63,4.87,5.97,8.9271
2021,MD,environment,state,897374000,6.14,1.63,4.213,8.953
2022,MD,environment,state,912145000,1.65,6.14,3.14,8.9601
2023,MD,environment,state,1198997000,30.0,1.65,12.597,9.0788
2015,MD,housing,state,12174866000,11.36,11.36,11.36,10.0855
2016,MD,housing,state,12037103000,-1.13,11.36,5.115,10.0805
2017,MD,housing,state,13046072000,8.38,-1.13,6.203,10.1155
2018,MD,housing,state,13047335000,0.01,8.38,2.42,10.1155
2019,MD,housing,state,13811430000,5.86,0.01,4.75,10.1402
2020,MD,housing,state,14788748000,7.08,5.86,4.317,10.1699
2021,MD,housing,state,16822942000,13.76,7.08,8.9,10.2259
2022,MD,housing,state,19535546000,16.12,13.76,12.32,10.2908
2023,MD,housing,state,19939083000,2.07,16.12,10.65,10.2997
2015,MD,public_safety,state,2078346000,2.05,2.05,2.05,9.3177
2016,MD,public_safety,state,2104563000,1.26,2.05,1.655,9.3232
2017,MD,public_safety,state,2149174000,2.12,1.26,1.81,9.3323
2018,MD,public_safety,state,2114219000,-1.63,2.12,0.583,9.3251
2019,MD,public_safety,state,2219404000,4.98,-1.63,1.823,9.3462
2020,MD,public_safety,state,2556334000,15.18,4.98,6.177,9.4076
2021,MD,public_safety,state,2532615000,-0.93,15.18,6.41,9.4036
2022,MD,public_safety,state,2681049000,5.86,-0.93,6.703,9.4283
2023,MD,public_safety,state,3043507000,13.52,5.86,6.15,9.4834
2015,MD,transportation,state,2524010000,15.1,15.1,15.1,9.4021
2016,MD,transportation,state,2562464000,1.52,15.1,8.31,9.4087
2017,MD,transportation,state,2563326000,0.03,1.52,5.55,9.4088
2018,MD,transportation,state,2811074000,9.67,0.03,3.74,9.4489
2019,MD,transportation,state,2864143000,1.89,9.67,3.863,9.457
2020,MD,transportation,state,2677631000,-6.51,1.89,1.683,9.4278
2021,MD,transportation,state,2286272000,-14.62,-6.51,-6.413,9.3591
2022,MD,transportation,state,2649961000,15.91,-14.62,-1.74,9.4232
2023,MD,transportation,state,2462378000,-7.08,15.91,-1.93,9.3914
2015,ME,education,state,2035487000,-1.76,-1.76,-1.76,9.3087
2016,ME,education,state,2120618000,4.18,-1.76,1.21,9.3265
2017,ME,education,state,2129244000,0.41,4.18,0.943,9.3282
2018,ME,education,state,2176966000,2.24,0.41,2.277,9.3379
2019,ME,education,state,2256389000,3.65,2.24,2.1,9.3534
2020,ME,education,state,2430820000,7.73,3.65,4.54,9.3858
2021,ME,education,state,2791156000,14.82,7.73,8.733,9.4458
2022,ME,education,state,3054669000,9.44,14.82,10.663,9.485
2023,ME,education,state,3223693000,5.53,9.44,9.93,9.5084
2015,ME,environment,state,129608000,2.11,2.11,2.11,8.1126
2016,ME,environment,state,143173000,10.47,2.11,6.29,8.1559
2017,ME,environment,state,145288000,1.48,10.47,4.687,8.1622
2018,ME,environment,state,146412000,0.77,1.48,4.24,8.1656
2019,ME,environment,state,157116000,7.31,0.77,3.187,8.1962
2020,ME,environment,state,218878000,30.0,7.31,12.693,8.3402
2021,ME,environment,state,215781000,-1.41,30.0,11.967,8.334
2022,ME,environment,state,239911000,11.18,-1.41,13.257,8.3801
2023,ME,environment,state,308450000,28.57,11.18,12.78,8.4892
2015,ME,housing,state,3011951000,-13.45,-13.45,-13.45,9.4788
2016,ME,housing,state,3138846000,4.21,-13.45,-4.62,9.4968
2017,ME,housing,state,3161706000,0.73,4.21,-2.837,9.4999
2018,ME,housing,state,3333952000,5.45,0.73,3.463,9.523
2019,ME,housing,state,3512375000,5.35,5.45,3.843,9.5456
2020,ME,housing,state,4046933000,15.22,5.35,8.673,9.6071
2021,ME,housing,state,4350025000,7.49,15.22,9.353,9.6385
2022,ME,housing,state,4960094000,14.02,7.49,12.243,9.6955
2023,ME,housing,state,5596401000,12.83,14.02,11.447,9.7479
2015,ME,public_safety,state,229273000,6.99,6.99,6.99,8.3604
2016,ME,public_safety,state,245385000,7.03,6.99,7.01,8.3898
2017,ME,public_safety,state,252936000,3.08,7.03,5.7,8.403
2018,ME,public_safety,state,251489000,-0.57,3.08,3.18,8.4005
2019,ME,public_safety,state,261753000,4.08,-0.57,2.197,8.4179
2020,ME,public_safety,state,308606000,17.9,4.08,7.137,8.4894
2021,ME,public_safety,state,315511000,2.24,17.9,8.073,8.499
2022,ME,public_safety,state,326853000,3.59,2.24,7.91,8.5144
2023,ME,public_safety,state,329327000,0.76,3.59,2.197,8.5176
2015,ME,transportation,state,670152000,1.54,1.54,1.54,8.8262
2016,ME,transportation,state,778642000,16.19,1.54,8.865,8.8913
2017,ME,transportation,state,777991000,-0.08,16.19,5.883,8.891
2018,ME,transportation,state,766297000,-1.5,-0.08,4.87,8.8844
2019,ME,transportation,state,734387000,-4.16,-1.5,-1.913,8.8659
2020,ME,transportation,state,801074000,9.08,-4.16,1.14,8.9037
2021,ME,transportation,state,760476000,-5.07,9.08,-0.05,8.8811
2022,ME,transportation,state,872760000,14.76,-5.07,6.257,8.9409
2023,ME,transportation,state,894197000,2.46,14.76,4.05,8.9514
2015,MI,education,state,24211552000,1.43,1.43,1.43,10.384
2016,MI,education,state,25199445000,4.08,1.43,2.755,10.4014
2017,MI,education,state,25890299000,2.74,4.08,2.75,10.4131
2018,MI,education,state,27187531000,5.01,2.74,3.943,10.4344
2019,MI,education,state,27642874000,1.67,5.01,3.14,10.4416
2020,MI,education,state,28378114000,2.66,1.67,3.113,10.453
2021,MI,education,state,26567497000,-6.38,2.66,-0.683,10.4244
2022,MI,education,state,31460321000,18.42,-6.38,4.9,10.4978
2023,MI,education,state,34024669000,8.15,18.42,6.73,10.5318
2015,MI,environment,state,448497000,1.42,1.42,1.42,8.6518
2016,MI,environment,state,477889000,6.55,1.42,3.985,8.6793
2017,MI,environment,state,524105000,9.67,6.55,5.88,8.7194
2018,MI,environment,state,584848000,11.59,9.67,9.27,8.767
2019,MI,environment,state,647862000,10.77,11.59,10.677,8.8115
2020,MI,environment,state,602456000,-7.01,10.77,5.117,8.7799
2021,MI,environment,state,611726000,1.54,-7.01,1.767,8.7866
2022,MI,environment,state,670264000,9.57,1.54,1.367,8.8262
2023,MI,environment,state,809284000,20.74,9.57,10.617,8.9081
2015,MI,housing,state,18410125000,17.41,17.41,17.41,10.2651
2016,MI,housing,state,18707348000,1.61,17.41,9.51,10.272
2017,MI,housing,state,18791853000,0.45,1.61,6.49,10.274
2018,MI,housing,state,19324550000,2.83,0.45,1.63,10.2861
2019,MI,housing,state,21020491000,8.78,2.83,4.02,10.3226
2020,MI,housing,state,21581375000,2.67,8.78,4.76,10.3341
2021,MI,housing,state,23518423000,8.98,2.67,6.81,10.3714
2022,MI,housing,state,25322266000,7.67,8.98,6.44,10.4035
2023,MI,housing,state,26508945000,4.69,7.67,7.113,10.4234
2015,MI,public_safety,state,2359211000,2.11,2.11,2.11,9.3728
2016,MI,public_safety,state,2388884000,1.26,2.11,1.685,9.3782
2017,MI,public_safety,state,2396779000,0.33,1.26,1.233,9.3796
2018,MI,public_safety,state,2435334000,1.61,0.33,1.067,9.3866
2019,MI,public_safety,state,2494006000,2.41,1.61,1.45,9.3969
2020,MI,public_safety,state,2575229000,3.26,2.41,2.427,9.4108
2021,MI,public_safety,state,2479049000,-3.73,3.26,0.647,9.3943
2022,MI,public_safety,state,2577095000,3.95,-3.73,1.16,9.4111
2023,MI,public_safety,state,2746692000,6.58,3.95,2.267,9.4388
2015,MI,transportation,state,2532511000,-4.1,-4.1,-4.1,9.4036
2016,MI,transportation,state,2743085000,8.31,-4.1,2.105,9.4382
2017,MI,transportation,state,3012998000,9.84,8.31,4.683,9.479
2018,MI,transportation,state,3383237000,12.29,9.84,10.147,9.5293
2019,MI,transportation,state,3951165000,16.79,12.29,12.973,9.5967
2020,MI,transportation,state,4147635000,4.97,16.79,11.35,9.6178
2021,MI,transportation,state,4332680000,4.46,4.97,8.74,9.6368
2022,MI,transportation,state,4904231000,13.19,4.46,7.54,9.6906
2023,MI,transportation,state,5318709000,8.45,13.19,8.7,9.7258
2015,MN,education,state,14289649000,-2.99,-2.99,-2.99,10.155
2016,MN,education,state,15029858000,5.18,-2.99,1.095,10.177
2017,MN,education,state,16103496000,7.14,5.18,3.11,10.2069
2018,MN,education,state,16412608000,1.92,7.14,4.747,10.2152
2019,MN,education,state,16202189000,-1.28,1.92,2.593,10.2096
2020,MN,education,state,17040187000,5.17,-1.28,1.937,10.2315
2021,MN,education,state,17752188000,4.18,5.17,2.69,10.2493
2022,MN,education,state,18198714000,2.52,4.18,3.957,10.26
2023,MN,education,state,18589810000,2.15,2.52,2.95,10.2693
2015,MN,environment,state,1002560000,2.43,2.43,2.43,9.0011
2016,MN,environment,state,953974000,-4.85,2.43,-1.21,8.9795
2017,MN,environment,state,966568000,1.32,-4.85,-0.367,8.9852
2018,MN,environment,state,927356000,-4.06,1.32,-2.53,8.9672
2019,MN,environment,state,960920000,3.62,-4.06,0.293,8.9827
2020,MN,environment,state,1054417000,9.73,3.62,3.097,9.023
2021,MN,environment,state,1063922000,0.9,9.73,4.75,9.0269
2022,MN,environment,state,1097808000,3.19,0.9,4.607,9.0405
2023,MN,environment,state,1202336000,9.52,3.19,4.537,9.08
2015,MN,housing,state,12761965000,5.08,5.08,5.08,10.1059
2016,MN,housing,state,14449694000,13.22,5.08,9.15,10.1599
2017,MN,housing,state,14160731000,-2.0,13.22,5.433,10.1511
2018,MN,housing,state,16078438000,13.54,-2.0,8.253,10.2062
2019,MN,housing,state,16075483000,-0.02,13.54,3.84,10.2062
2020,MN,housing,state,17079921000,6.25,-0.02,6.59,10.2325
2021,MN,housing,state,17904724000,4.83,6.25,3.687,10.253
2022,MN,housing,state,20805356000,16.2,4.83,9.093,10.3182
2023,MN,housing,state,22980564000,10.46,16.2,10.497,10.3614
2015,MN,public_safety,state,965440000,5.18,5.18,5.18,8.9847
2016,MN,public_safety,state,995144000,3.08,5.18,4.13,8.9979
2017,MN,public_safety,state,1050370000,5.55,3.08,4.603,9.0213
2018,MN,public_safety,state,1102910000,5.0,5.55,4.543,9.0425
2019,MN,public_safety,state,1174903000,6.53,5.0,5.693,9.07
2020,MN,public_safety,state,1189729000,1.26,6.53,4.263,9.0754
2021,MN,public_safety,state,1266508000,6.45,1.26,4.747,9.1026
2022,MN,public_safety,state,1278929000,0.98,6.45,2.897,9.1068
2023,MN,public_safety,state,1389177000,8.62,0.98,5.35,9.1428
2015,MN,transportation,state,2982144000,5.0,5.0,5.0,9.4745
2016,MN,transportation,state,3199357000,7.28,5.0,6.14,9.5051
2017,MN,transportation,state,2797257000,-12.57,7.28,-0.097,9.4467
2018,MN,transportation,state,2764069000,-1.19,-12.57,-2.16,9.4415
2019,MN,transportation,state,3091304000,11.84,-1.19,-0.64,9.4901
2020,MN,transportation,state,3307878000,7.01,11.84,5.887,9.5195
2021,MN,transportation,state,3146785000,-4.87,7.01,4.66,9.4979
2022,MN,transportation,state,3162032000,0.48,-4.87,0.873,9.5
2023,MN,transportation,state,3513333000,11.11,0.48,2.24,9.5457
2015,MO,education,state,9507971000,3.72,3.72,3.72,9.9781
2016,MO,education,state,9660500000,1.6,3.72,2.66,9.985
2017,MO,education,state,9888910000,2.36,1.6,2.56,9.9951
2018,MO,education,state,9820813000,-0.69,2.36,1.09,9.9921
2019,MO,education,state,10156760000,3.42,-0.69,1.697,10.0068
2020,MO,education,state,10324021000,1.65,3.42,1.46,10.0138
2021,MO,education,state,10600115000,2.67,1.65,2.58,10.0253
2022,MO,education,state,12004706000,13.25,2.67,5.857,10.0794
2023,MO,education,state,12869957000,7.21,13.25,7.71,10.1096
2015,MO,environment,state,410143000,7.05,7.05,7.05,8.6129
2016,MO,environment,state,439658000,7.2,7.05,7.125,8.6431
2017,MO,environment,state,435906000,-0.85,7.2,4.467,8.6394
2018,MO,environment,state,417463000,-4.23,-0.85,0.707,8.6206
2019,MO,environment,state,356311000,-14.65,-4.23,-6.577,8.5518
2020,MO,environment,state,441885000,24.02,-14.65,1.713,8.6453
2021,MO,environment,state,406872000,-7.92,24.02,0.483,8.6095
2022,MO,environment,state,450531000,10.73,-7.92,8.943,8.6537
2023,MO,environment,state,503641000,11.79,10.73,4.867,8.7021
2015,MO,housing,state,8676992000,3.5,3.5,3.5,9.9384
2016,MO,housing,state,8897083000,2.54,3.5,3.02,9.9492
2017,MO,housing,state,9227255000,3.71,2.54,3.25,9.9651
2018,MO,housing,state,9685146000,4.96,3.71,3.737,9.9861
2019,MO,housing,state,9862450000,1.83,4.96,3.5,9.994
2020,MO,housing,state,10215706000,3.58,1.83,3.457,10.0093
2021,MO,housing,state,10890277000,6.6,3.58,4.003,10.037
2022,MO,housing,state,12039961000,10.56,6.6,6.913,10.0806
2023,MO,housing,state,15240513000,26.58,10.56,14.58,10.183
2015,MO,public_safety,state,1020783000,-2.9,-2.9,-2.9,9.0089
2016,MO,public_safety,state,1004934000,-1.55,-2.9,-2.225,9.0021
2017,MO,public_safety,state,1022748000,1.77,-1.55,-0.893,9.0098
2018,MO,public_safety,state,1042622000,1.94,1.77,0.72,9.0181
2019,MO,public_safety,state,1061426000,1.8,1.94,1.837,9.0259
2020,MO,public_safety,state,1133710000,6.81,1.8,3.517,9.0545
2021,MO,public_safety,state,987455000,-12.9,6.81,-1.43,8.9945
2022,MO,public_safety,state,1125432000,13.97,-12.9,2.627,9.0513
2023,MO,public_safety,state,1326439000,17.86,13.97,6.31,9.1227
2015,MO,transportation,state,1424753000,-0.26,-0.26,-0.26,9.1537
2016,MO,transportation,state,1330238000,-6.63,-0.26,-3.445,9.1239
2017,MO,transportation,state,1338083000,0.59,-6.63,-2.1,9.1265
2018,MO,transportation,state,1488273000,11.22,0.59,1.727,9.1727
2019,MO,transportation,state,1467590000,-1.39,11.22,3.473,9.1666
2020,MO,transportation,state,1730946000,17.94,-1.39,9.257,9.2383
2021,MO,transportation,state,1758135000,1.57,17.94,6.04,9.2451
2022,MO,transportation,state,1823186000,3.7,1.57,7.737,9.2608
2023,MO,transportation,state,2352881000,29.05,3.7,11.44,9.3716
2015,MS,education,state,5791535000,4.43,4.43,4.43,9.7628
2016,MS,education,state,6388842000,10.31,4.43,7.37,9.8054
2017,MS,education,state,5924765000,-7.26,10.31,2.493,9.7727
2018,MS,education,state,5824099000,-1.7,-7.26,0.45,9.7652
2019,MS,education,state,5906226000,1.41,-1.7,-2.517,9.7713
2020,MS,education,state,6066845000,2.72,1.41,0.81,9.783
2021,MS,education,state,6248285000,2.99,2.72,2.373,9.7958
2022,MS,education,state,6696133000,7.17,2.99,4.293,9.8258
2023,MS,education,state,7746062000,15.68,7.17,8.613,9.8891
2015,MS,environment,state,394459000,19.37,19.37,19.37,8.596
2016,MS,environment,state,319601000,-18.98,19.37,0.195,8.5046
2017,MS,environment,state,351419000,9.96,-18.98,3.45,8.5458
2018,MS,environment,state,356002000,1.3,9.96,-2.573,8.5515
2019,MS,environment,state,328697000,-7.67,1.3,1.197,8.5168
2020,MS,environment,state,342511000,4.2,-7.67,-0.723,8.5347
2021,MS,environment,state,346306000,1.11,4.2,-0.787,8.5395
2022,MS,environment,state,398632000,15.11,1.11,6.807,8.6006
2023,MS,environment,state,435218000,9.18,15.11,8.467,8.6387
2015,MS,housing,state,6228236000,7.16,7.16,7.16,9.7944
2016,MS,housing,state,6572325000,5.52,7.16,6.34,9.8177
2017,MS,housing,state,6757395000,2.82,5.52,5.167,9.8298
2018,MS,housing,state,6694614000,-0.93,2.82,2.47,9.8257
2019,MS,housing,state,6787390000,1.39,-0.93,1.093,9.8317
2020,MS,housing,state,6963205000,2.59,1.39,1.017,9.8428
2021,MS,housing,state,7061869000,1.42,2.59,1.8,9.8489
2022,MS,housing,state,7375049000,4.43,1.42,2.813,9.8678
2023,MS,housing,state,7966863000,8.02,4.43,4.623,9.9013
2015,MS,public_safety,state,534188000,7.06,7.06,7.06,8.7277
2016,MS,public_safety,state,475720000,-10.95,7.06,-1.945,8.6774
2017,MS,public_safety,state,492320000,3.49,-10.95,-0.133,8.6922
2018,MS,public_safety,state,485016000,-1.48,3.49,-2.98,8.6858
2019,MS,public_safety,state,497970000,2.67,-1.48,1.56,8.6972
2020,MS,public_safety,state,503456000,1.1,2.67,0.763,8.702
2021,MS,public_safety,state,519289000,3.14,1.1,2.303,8.7154
2022,MS,public_safety,state,504969000,-2.76,3.14,0.493,8.7033
2023,MS,public_safety,state,596135000,18.05,-2.76,6.143,8.7753
2015,MS,transportation,state,1327966000,-3.49,-3.49,-3.49,9.1232
2016,MS,transportation,state,1054046000,-20.0,-3.49,-11.745,9.0229
2017,MS,transportation,state,1163541000,10.39,-20.0,-4.367,9.0658
2018,MS,transportation,state,1156606000,-0.6,10.39,-3.403,9.0632
2019,MS,transportation,state,1128882000,-2.4,-0.6,2.463,9.0526
2020,MS,transportation,state,1127802000,-0.1,-2.4,-1.033,9.0522
2021,MS,transportation,state,1202197000,6.6,-0.1,1.367,9.08
2022,MS,transportation,state,1144430000,-4.81,6.6,0.563,9.0586
2023,MS,transportation,state,1417513000,23.86,-4.81,8.55,9.1515
2015,MT,education,state,1798401000,4.01,4.01,4.01,9.2549
2016,MT,education,state,1870825000,4.03,4.01,4.02,9.272
2017,MT,education,state,1917487000,2.49,4.03,3.51,9.2827
2018,MT,education,state,1893109000,-1.27,2.49,1.75,9.2772
2019,MT,education,state,1917262000,1.28,-1.27,0.833,9.2827
2020,MT,education,state,1958522000,2.15,1.28,0.72,9.2919
2021,MT,education,state,2046276000,4.48,2.15,2.637,9.311
2022,MT,education,state,2146036000,4.88,4.48,3.837,9.3316
2023,MT,education,state,2322921000,8.24,4.88,5.867,9.366
2015,MT,environment,state,257019000,-4.78,-4.78,-4.78,8.41
2016,MT,environment,state,234680000,-8.69,-4.78,-6.735,8.3705
2017,MT,environment,state,302390000,28.85,-8.69,5.127,8.4806
2018,MT,environment,state,328252000,8.55,28.85,9.57,8.5162
2019,MT,environment,state,301435000,-8.17,8.55,9.743,8.4792
2020,MT,environment,state,320198000,6.22,-8.17,2.2,8.5054
2021,MT,environment,state,369335000,15.35,6.22,4.467,8.5674
2022,MT,environment,state,324492000,-12.14,15.35,3.143,8.5112
2023,MT,environment,state,381981000,17.72,-12.14,6.977,8.582
2015,MT,housing,state,1459870000,2.82,2.82,2.82,9.1643
2016,MT,housing,state,1709086000,17.07,2.82,9.945,9.2328
2017,MT,housing,state,2169871000,26.96,17.07,15.617,9.3364
2018,MT,housing,state,2220855000,2.35,26.96,15.46,9.3465
2019,MT,housing,state,2257770000,1.66,2.35,10.323,9.3537
2020,MT,housing,state,2424845000,7.4,1.66,3.803,9.3847
2021,MT,housing,state,2723012000,12.3,7.4,7.12,9.435
2022,MT,housing,state,2910332000,6.88,12.3,8.86,9.4639
2023,MT,housing,state,3024979000,3.94,6.88,7.707,9.4807
2015,MT,public_safety,state,256957000,7.5,7.5,7.5,8.4099
2016,MT,public_safety,state,267934000,4.27,7.5,5.885,8.428
2017,MT,public_safety,state,268941000,0.38,4.27,4.05,8.4297
2018,MT,public_safety,state,274963000,2.24,0.38,2.297,8.4393
2019,MT,public_safety,state,274019000,-0.34,2.24,0.76,8.4378
2020,MT,public_safety,state,312510000,14.05,-0.34,5.317,8.4949
2021,MT,public_safety,state,318409000,1.89,14.05,5.2,8.503
2022,MT,public_safety,state,299070000,-6.07,1.89,3.29,8.4758
2023,MT,public_safety,state,338890000,13.31,-6.07,3.043,8.5301
2015,MT,transportation,state,692064000,1.88,1.88,1.88,8.8401
2016,MT,transportation,state,646029000,-6.65,1.88,-2.385,8.8103
2017,MT,transportation,state,612622000,-5.17,-6.65,-3.313,8.7872
2018,MT,transportation,state,645093000,5.3,-5.17,-2.173,8.8096
2019,MT,transportation,state,746869000,15.78,5.3,5.303,8.8732
2020,MT,transportation,state,823722000,10.29,15.78,10.457,8.9158
2021,MT,transportation,state,793913000,-3.62,10.29,7.483,8.8998
2022,MT,transportation,state,752644000,-5.2,-3.62,0.49,8.8766
2023,MT,transportation,state,917717000,21.93,-5.2,4.37,8.9627
2015,NC,education,state,19912132000,4.26,4.26,4.26,10.2991
2016,NC,education,state,20290248000,1.9,4.26,3.08,10.3073
2017,NC,education,state,21131983000,4.15,1.9,3.437,10.3249
2018,NC,education,state,21864660000,3.47,4.15,3.173,10.3397
2019,NC,education,state,22768346000,4.13,3.47,3.917,10.3573
2020,NC,education,state,23278030000,2.24,4.13,3.28,10.3669
2021,NC,education,state,24309949000,4.43,2.24,3.6,10.3858
2015,NC,environment,state,621284000,0.93,0.93,0.93,8.7933
2016,NC,environment,state,643259000,3.54,0.93,2.235,8.8084
2017,NC,environment,state,694747000,8.0,3.54,4.157,8.8418
2018,NC,environment,state,740907000,6.64,8.0,6.06,8.8698
2019,NC,environment,state,999995000,30.0,6.64,14.88,9.0
2020,NC,environment,state,1019734000,1.97,30.0,12.87,9.0085
2021,NC,environment,state,994102000,-2.51,1.97,9.82,8.9974
2015,NC,housing,state,14560381000,6.58,6.58,6.58,10.1632
2016,NC,housing,state,14195258000,-2.51,6.58,2.035,10.1521
2017,NC,housing,state,14672721000,3.36,-2.51,2.477,10.1665
2018,NC,housing,state,15076808000,2.75,3.36,1.2,10.1783
2019,NC,housing,state,15479820000,2.67,2.75,2.927,10.1898
2020,NC,housing,state,16987474000,9.74,2.67,5.053,10.2301
2021,NC,housing,state,19932563000,17.34,9.74,9.917,10.2996
2015,NC,public_safety,state,1776155000,5.27,5.27,5.27,9.2495
2016,NC,public_safety,state,1866938000,5.11,5.27,5.19,9.2711
2017,NC,public_safety,state,1937332000,3.77,5.11,4.717,9.2872
2018,NC,public_safety,state,1983084000,2.36,3.77,3.747,9.2973
2019,NC,public_safety,state,2066294000,4.2,2.36,3.443,9.3152
2020,NC,public_safety,state,2320361000,12.3,4.2,6.287,9.3656
2021,NC,public_safety,state,2504338000,7.93,12.3,8.143,9.3987
2015,NC,transportation,state,3791251000,-1.53,-1.53,-1.53,9.5788
2016,NC,transportation,state,4033354000,6.39,-1.53,2.43,9.6057
2017,NC,transportation,state,4476105000,10.98,6.39,5.28,9.6509
2018,NC,transportation,state,5303644000,18.49,10.98,11.953,9.7246
2019,NC,transportation,state,6184868000,16.62,18.49,15.363,9.7913
2020,NC,transportation,state,5572582000,-9.9,16.62,8.403,9.7461
2021,NC,transportation,state,4874260000,-12.53,-9.9,-1.937,9.6879
2015,ND,education,state,2307999000,5.79,5.79,5.79,9.3632
2016,ND,education,state,2501227000,8.37,5.79,7.08,9.3982
2017,ND,education,state,2344967000,-6.25,8.37,2.637,9.3701
2018,ND,education,state,2271402000,-3.14,-6.25,-0.34,9.3563
2019,ND,education,state,2395545000,5.47,-3.14,-1.307,9.3794
2020,ND,education,state,2468167000,3.03,5.47,1.787,9.3924
2021,ND,education,state,2762598000,11.93,3.03,6.81,9.4413
2015,ND,environment,state,241066000,10.92,10.92,10.92,8.3821
2016,ND,environment,state,170653000,-20.0,10.92,-4.54,8.2321
2017,ND,environment,state,266311000,30.0,-20.0,6.973,8.4254
2018,ND,environment,state,236499000,-11.19,30.0,-0.397,8.3738
2019,ND,environment,state,239388000,1.22,-11.19,6.677,8.3791
2020,ND,environment,state,248162000,3.67,1.22,-2.1,8.3947
2021,ND,environment,state,361683000,30.0,3.67,11.63,8.5583
2015,ND,housing,state,1385251000,25.93,25.93,25.93,9.1415
2016,ND,housing,state,1473946000,6.4,25.93,16.165,9.1685
2017,ND,housing,state,1470825000,-0.21,6.4,10.707,9.1676
2018,ND,housing,state,1555804000,5.78,-0.21,3.99,9.192
2019,ND,housing,state,1566235000,0.67,5.78,2.08,9.1949
2020,ND,housing,state,1686915000,7.71,0.67,4.72,9.2271
2021,ND,housing,state,1786618000,5.91,7.71,4.763,9.252
2015,ND,public_safety,state,128507000,8.27,8.27,8.27,8.1089
2016,ND,public_safety,state,130256000,1.36,8.27,4.815,8.1148
2017,ND,public_safety,state,148875000,14.29,1.36,7.973,8.1728
2018,ND,public_safety,state,142595000,-4.22,14.29,3.81,8.1541
2019,ND,public_safety,state,153857000,7.9,-4.22,5.99,8.1871
2020,ND,public_safety,state,167918000,9.14,7.9,4.273,8.2251
2021,ND,public_safety,state,178324000,6.2,9.14,7.747,8.2512
2015,ND,transportation,state,1221559000,-9.99,-9.99,-9.99,9.0869
2016,ND,transportation,state,1402911000,14.85,-9.99,2.43,9.147
2017,ND,transportation,state,1063696000,-20.0,14.85,-5.047,9.0268
2018,ND,transportation,state,752320000,-20.0,-20.0,-8.383,8.8764
2019,ND,transportation,state,767111000,1.97,-20.0,-12.677,8.8849
2020,ND,transportation,state,761276000,-0.76,1.97,-6.263,8.8815
2021,ND,transportation,state,818612000,7.53,-0.76,2.913,8.9131
2015,NE,education,state,3593464000,4.73,4.73,4.73,9.5555
2016,NE,education,state,3911382000,8.85,4.73,6.79,9.5923
